Seletar Aerospace Park,0,
Seletar Hills,"2,970",
Semakau,0,
Sembawang Central,"3,340","8,800"
Sembawang East,0,
Sembawang Hills,"1,550",
Sembawang North,"2,830",
Sembawang Springs,830,
Sembawang Straits,250,
Sengkang Town Centre,"6,590",
Sengkang West,0,
Senja,"2,430",
Sennett,"1,260",
Senoko North,0,
Senoko South,0,
Senoko West,0,
Sentosa,150,
Serangoon Central,"5,930","18,250"
Serangoon Garden,"9,650",
Serangoon North,"2,670",
Serangoon North Ind Estate,0,
Shangri-La,"4,460",
Shipyard,0,
Siglap,"1,910",
Simei,"6,870",
Simpang North,0,
Simpang South,0,
Singapore General Hospital,0,
Singapore Polytechnic,10,
Somerset,40,
Southern Group,0,
Springleaf,860,
Straits View,0,
Sudong,0,
Sungei Road,690,
Sunset Way,"1,540",
Swiss Club,"1,100",
Tagore,"1,670",
Tai Seng,"3,110",
Taman Jurong,"5,380",
Tampines East,"23,790","36,570"
Tampines North,0,
Tampines West,"12,780",
Tanglin,70,
Tanglin Halt,"3,530",
Tanjong Irau,0,
Tanjong Pagar,120,
Tanjong Rhu,"1,900",
Teban Gardens,"4,220",
Teck Whye,"4,710",
Telok Blangah Drive,"4,180",
Telok Blangah Rise,"4,000",
Telok Blangah Way,"2,900",
Tengah,0,
Tengeh,0,
The Wharves,0,
Tiong Bahru,"3,040",
Tiong Bahru Station,"3,500",
Toa Payoh Central,"6,240","10,060"
Toa Payoh West,"3,820",
Toh Guan,"2,560",
Toh Tuck,0,
Total,"18,550",
Total,0,
Total,"23,190",
Total,"39,570",
Total,"20,110",
Total,"14,950",
Total,0,
Total,330,
Total,0,
Total,"22,160",
Total,"21,460",
Total,980,
Total,"25,800",
Total,"41,920",
Total,"17,030",
Total,"38,980",
Total,"24,410",
Total,0,
Total,290,
Total,0,
Total,0,
Total,"11,050",
Total,60,
Total,"1,360",
Total,0,
Total,"6,000",
Total,0,
Total,"10,750",
Total,"29,560",
Townsville,"6,040",
Trafalgar,"7,100",
Tuas Bay,0,
Tuas North,0,
Tuas Promenade,0,
Tuas View,0,
Tuas View Extension,0,
Tukang,0,
Turf Club,180,
Tyersall,710,
Ulu Pandan,"2,350",
Upper Paya Lebar,"3,480",
Upper Thomson,"7,230",
Victoria,660,
Waterway East,"2,490",
Wenya,850,
West Coast,920,
Western Water Catchment,110,
Woodgrove,"4,060",
Woodlands East,"9,190","18,830"
Woodlands Regional Centre,0,
Woodlands South,"3,910",
Woodlands West,"5,730",
Woodleigh,340,
Xilin,250,
Yew Tee,"4,710",
Yio Chu Kang,0,
Yio Chu Kang East,830,
Yio Chu Kang North,0,
Yio Chu Kang West,"5,590",
Yishun Central,270,23730
Yishun East,"6,290",
Yishun South,"6,820",
Yishun West,"10,350",
Yuhua East,"5,870",
Yuhua West,"4,140",
Yunnan,"9,370",
